time,longitude,latitude,slhf,ssr,sshf,str,u10,v10,t2m
2014-05-01,-88.0,30.25,-9496125.0,22056010.0,-989044.5,-6688152.0,-0.28125793,2.2363958,296.4894
2014-06-01,-88.0,30.25,-8766400.0,22127728.0,-558271.5,-4980559.0,0.9693308,2.342739,300.2121
2014-07-01,-88.0,30.25,-10614460.0,22589552.0,-665507.25,-5418106.0,2.485932,0.48506826,300.63498
2014-08-01,-88.0,30.25,-10041259.0,20483636.0,-586949.0,-4983194.5,1.1109438,0.497073,301.50195
2014-09-01,-88.0,30.25,-12356371.0,16636104.0,-1349039.0,-5277880.0,-2.129551,-0.29229277,299.96616
2014-10-01,-88.0,30.25,-13633748.0,16620076.0,-1469850.8,-7782020.0,0.23648387,-0.215961,296.47507
2014-11-01,-88.0,30.25,-17579584.0,11904044.0,-5057897.5,-8670293.0,-0.80363876,-1.9557368,288.99112
2014-12-01,-88.0,30.25,-6754261.5,9653876.0,-1598442.0,-6037525.0,-1.4261253,-1.6149617,288.77353
2015-01-01,-88.0,30.25,-10448940.0,11015169.0,-3726985.8,-7092171.5,-0.8500292,-2.745782,285.87033
2015-02-01,-88.0,30.25,-11508264.0,13214264.0,-4165691.0,-7224490.0,-0.43959582,-2.3437376,284.71164
2015-03-01,-88.0,30.25,-4583440.0,15143871.0,-1067755.2,-4406370.5,-0.8622372,0.5336534,290.76944
2015-04-01,-88.0,30.25,-4303856.0,16914828.0,-239005.0,-4514334.0,-0.5646059,1.7133983,294.96317
2015-05-01,-88.0,30.25,-8171970.5,22442040.0,-545305.75,-6010323.0,-2.0403104,2.1779575,297.74716
2015-06-01,-88.0,30.25,-9810252.0,22130172.0,-747726.25,-5061637.0,1.2094624,1.8772739,300.40613
2015-07-01,-88.0,30.25,-9423800.0,22604764.0,-353410.5,-4661729.0,3.1511467,0.8450961,301.98938
2015-08-01,-88.0,30.25,-12481949.0,20631420.0,-976841.5,-5340507.0,0.92257416,0.7858653,301.3687
2015-09-01,-88.0,30.25,-12681292.0,17157692.0,-1257515.0,-5654908.5,-1.3140557,-0.83963925,299.59448
2015-10-01,-88.0,30.25,-13713989.0,14667649.0,-1520799.2,-6465372.0,-1.6413525,-1.152441,296.10272
2015-11-01,-88.0,30.25,-10767745.0,10748398.0,-2184501.0,-6026981.5,-3.2213135,-1.4932159,293.21216
2015-12-01,-88.0,30.25,-6513539.0,8518062.0,-1069128.2,-5110452.0,-1.6475786,0.8698982,291.5377
2016-01-01,-88.0,30.25,-11844700.0,10429468.0,-4071268.5,-7270142.5,-0.6936446,-2.230033,285.55127
2016-02-01,-88.0,30.25,-11001271.0,14795330.0,-2384481.0,-7687025.0,1.487683,0.028210104,287.5619
2016-03-01,-88.0,30.25,-4945063.5,14964303.0,-295750.0,-4955571.0,-1.4731262,2.187584,291.4967
2016-04-01,-88.0,30.25,-7009017.5,19553742.0,-443714.0,-6018968.5,-1.5274518,0.98552847,293.69177
2016-05-01,-88.0,30.25,-9945546.0,22709626.0,-695405.0,-6460944.0,-0.25757438,1.0666168,297.2918
2016-06-01,-88.0,30.25,-10373737.0,21561858.0,-712794.5,-5206396.5,0.5863655,1.4598274,300.70636
2016-07-01,-88.0,30.25,-10815602.0,21171210.0,-888063.0,-4931743.0,1.3032199,2.434247,301.68948
2016-08-01,-88.0,30.25,-10234125.0,17756704.0,-896147.75,-4428406.0,-0.23083884,1.1640134,301.35233
2016-09-01,-88.0,30.25,-10483124.0,17181598.0,-898588.25,-5339453.0,-0.7812981,0.16320637,300.75726
2016-10-01,-88.0,30.25,-13975581.0,16694782.0,-940537.0,-7698728.0,-2.4885886,-1.0983065,297.7516
2016-11-01,-88.0,30.25,-12012378.0,11885027.0,-1245617.0,-7546061.0,-1.7143564,-0.48164994,293.66513
2016-12-01,-88.0,30.25,-9803775.0,8217062.0,-2721289.2,-4828735.0,-1.5248882,-1.507599,289.22714
2017-01-01,-88.0,30.25,-8022643.5,10870917.0,-2355345.8,-5799035.5,0.972505,0.5346726,288.6806
2017-02-01,-88.0,30.25,-5450257.5,13682064.0,-709591.25,-6082334.0,-0.04491081,0.8356962,290.50504
2017-03-01,-88.0,30.25,-7915056.0,17199800.0,-1230210.5,-6233103.0,-1.2056485,1.0133884,291.29517
2017-04-01,-88.0,30.25,-8654136.0,21574084.0,-710964.0,-6796748.0,-1.0829581,2.3861146,294.95908
2017-05-01,-88.0,30.25,-10666274.0,21649332.0,-1035569.25,-6249761.5,1.5498219,1.8200818,296.85593
2017-06-01,-88.0,30.25,-8092089.5,17429082.0,-684117.0,-4102934.0,-1.4380891,2.4196372,299.12207
2017-07-01,-88.0,30.25,-8755966.0,21007398.0,-703642.25,-4847818.5,1.6382078,1.1108983,301.08383
2017-08-01,-88.0,30.25,-10238443.0,18116656.0,-850843.25,-4485867.0,0.15859675,1.4320807,301.22525
2017-09-01,-88.0,30.25,-13396983.0,19024546.0,-1431868.2,-5846164.0,-0.49062532,-0.96104527,299.3161
2017-10-01,-88.0,30.25,-17097060.0,14713288.0,-2343752.8,-6463052.5,-2.5686731,-0.78188074,296.679
2017-11-01,-88.0,30.25,-11134046.0,12090946.0,-2162077.5,-7212260.0,-1.6186457,-1.656865,292.05383
2017-12-01,-88.0,30.25,-10562645.0,8581631.0,-4016659.2,-5726708.5,-0.055287622,-2.1911874,287.333
2018-01-01,-88.0,30.25,-12380119.0,10993164.0,-5666837.5,-7682069.5,-2.2123213,-2.5900607,283.8293
