,YYYY,MM,T,S,O
123,2020.0,4.0,22.0531,10.5812,7.8646
124,2020.0,5.0,24.563,15.0639,7.2623
125,2020.0,6.0,28.6175,14.2046,6.8506
126,2020.0,7.0,29.4239,18.4608,6.2877
127,2020.0,8.0,29.9715,23.6912,3.8627
128,2020.0,9.0,27.5463,20.9045,6.5446
129,2020.0,10.0,24.0603,6.0111,7.7671
130,2020.0,11.0,20.903,21.3963,7.3999
131,2020.0,12.0,13.9825,20.3084,9.7035
132,2021.0,1.0,13.2769,19.7269,9.9815
133,2021.0,2.0,12.4646,17.076,10.3961
134,2021.0,3.0,17.7757,13.8812,8.8126
135,2021.0,4.0,19.8603,8.3143,8.4725
136,2021.0,5.0,24.6616,13.9393,6.8071
137,2021.0,6.0,27.8092,15.131,6.1988
138,2021.0,7.0,29.6009,14.6061,6.0405
139,2021.0,8.0,30.7097,16.5511,5.6416
140,2021.0,9.0,27.4872,11.1787,7.2937
141,2021.0,10.0,25.0093,16.3622,7.1617
142,2021.0,11.0,18.1051,21.3053,8.0188
143,2021.0,12.0,17.5407,20.4789,8.3801
144,2022.0,1.0,12.2289,13.1715,9.819
145,2022.0,2.0,13.7949,13.5877,7.9304
146,2022.0,3.0,21.1893,9.225,7.5653
147,2022.0,4.0,,,
148,2022.0,5.0,,,
149,2022.0,6.0,,,
150,2022.0,7.0,,,
151,2022.0,8.0,,,
152,2022.0,9.0,,,
153,2022.0,10.0,,,
154,2022.0,11.0,,,
155,2022.0,12.0,,,
